"source_mod","source_file","id","name","crafting_template","culture","modifier_group","is_merchandise"
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_1_t3","{=osa_ar_aserai_lance_1_t3}Southern Light Lance","TwoHandedPolearm","Culture.aserai","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_2_t4","{=osa_ar_aserai_lance_2_t4}Southern Lance","TwoHandedPolearm","Culture.aserai","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_5_t5","{=osa_ar_aserai_lance_5_t5}Southern Thamaskene Steel Lance","TwoHandedPolearm","Culture.aserai","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_empire_lance_4_t5","{=osa_ar_empire_lance_4_t5}Imperial Thamaskene Steel Lance","TwoHandedPolearm","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_northern_lance_t3","{=osa_ar_northern_lance_t3}Northern Light Lance","TwoHandedPolearm","Culture.sturgia","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_khuzait_polearm_1_t3","{=osa_ar_khuzait_polearm_1_t3}Light Glaive","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_billhook_1_t2","{=osa_ar_billhook_1_t2}Crude Billhook","TwoHandedPolearm","Culture.vlandia","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_crude_spear_1_t2","{=osa_ar_crude_spear_1_t2}Crude Wooden Spear","TwoHandedPolearm","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_crude_spear_2_t2","{=osa_ar_crude_spear_2_t2}Crude Spear","TwoHandedPolearm","Culture.empire","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_short_spear_1_t2","{=osa_ar_aserai_short_spear_1_t2}Southern Short Jagged Spear","TwoHandedPolearm","Culture.aserai","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_short_spear_2_t3","{=osa_ar_aserai_short_spear_2_t3}Southern Short Fine Steel Jagged Spear","TwoHandedPolearm","Culture.aserai","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_short_spear_3_t4","{=osa_ar_aserai_short_spear_3_t4}Southern Short Thamaskene Steel Jagged Spear","TwoHandedPolearm","Culture.aserai","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_battania_spear_1_t2","{=osa_ar_battania_spear_1_t2}Highland Short Spear","TwoHandedPolearm","Culture.battania","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_battania_spear_2_t3","{=osa_ar_battania_spear_2_t3}Highland Short Weighted Spear","TwoHandedPolearm","Culture.battania","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_battania_spear_4_t4","{=osa_ar_battania_spear_4_t4}Highland Short Fine Steel Spear","TwoHandedPolearm","Culture.battania","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_battania_spear_5_t4","{=osa_ar_battania_spear_5_t4}Highland Short Fine Steel Leaf Spear","TwoHandedPolearm","Culture.battania","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_darshi_short_spear_1_t2","{=osa_ar_darshi_short_spear_1_t2}Darshi Short Iron Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_darshi_short_spear_2_t3","{=osa_ar_darshi_short_spear_2_t3}Darshi Short Steel Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_darshi_short_spear_3_t4","{=osa_ar_darshi_short_spear_3_t4}Darshi Short Fine Steel Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_darshi_short_spear_4_t5","{=osa_ar_darshi_short_spear_4_t5}Darshi Short Thamaskene Steel Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_darshi_short_spear_5_t5","{=osa_ar_darshi_short_spear_5_t5}Darshi Short Thamaskene Steel Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_southern_spear_1_t2","{=osa_ar_southern_spear_1_t2}Southern Crude Jagged Spear","TwoHandedPolearm","Culture.aserai","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_southern_spear_1_t4","{=osa_ar_southern_spear_1_t4}Southern Fine Steel Jagged Spear","TwoHandedPolearm","Culture.aserai","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_darshi_spear_1_t2","{=osa_ar_darshi_spear_1_t2}Darshi Simple Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_darshi_spear_3_t3","{=osa_ar_darshi_spear_3_t3}Darshi Weighted Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_darshi_spear_4_t4","{=osa_ar_darshi_spear_4_t4}Darshi Fine Steel Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_darshi_spear_5_t4","{=osa_ar_darshi_spear_4_t4}Darshi Thamaskene Steel Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_iltanlar_spear_1_t2","{=osa_ar_iltanlar_spear_1_t2}Steppe Light Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_iltanlar_spear_2_t3","{=osa_ar_iltanlar_spear_2_t3}Steppe Long Headed Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_iltanlar_spear_4_t4","{=osa_ar_iltanlar_spear_4_t4}Steppe Fine Steel Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
"OSW","OSA_ar_reforms_spears.xml","AR_iltanlar_spear_5_t4","{=osa_ar_iltanlar_spear_5_t4}Steppe Thamaskene Steel Spear","TwoHandedPolearm","Culture.khuzait","polearm",""
