"source_mod","source_file","crafted_item_id","slot_index","id","Type","scale_factor"
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_1_t3","0","spear_blade_3","Blade","109"
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_1_t3","1","spear_guard_11","Guard",""
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_1_t3","2","spear_handle_24","Handle","115"
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_1_t3","3","spear_pommel_10","Pommel",""
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_2_t4","0","spear_blade_1","Blade","129"
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_2_t4","1","spear_guard_11","Guard",""
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_2_t4","2","spear_handle_24","Handle","115"
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_2_t4","3","spear_pommel_10","Pommel",""
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_5_t5","0","spear_blade_42","Blade","147"
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_5_t5","1","spear_guard_11","Guard",""
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_5_t5","2","spear_handle_24","Handle","115"
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_lance_5_t5","3","spear_pommel_11","Pommel",""
"OSW","OSA_ar_reforms_spears.xml","AR_empire_lance_4_t5","0","spear_blade_4","Blade","90"
"OSW","OSA_ar_reforms_spears.xml","AR_empire_lance_4_t5","1","spear_banner_1","Guard","96"
"OSW","OSA_ar_reforms_spears.xml","AR_empire_lance_4_t5","2","AR_spear_handle_b","Handle","95"
"OSW","OSA_ar_reforms_spears.xml","AR_empire_lance_4_t5","3","AR_spear_pommel_b","Pommel","90"
"OSW","OSA_ar_reforms_spears.xml","AR_northern_lance_t3","0","spear_blade_15","Blade","145"
"OSW","OSA_ar_reforms_spears.xml","AR_northern_lance_t3","1","spear_guard_2","Guard","110"
"OSW","OSA_ar_reforms_spears.xml","AR_northern_lance_t3","2","spear_handle_17","Handle","136"
"OSW","OSA_ar_reforms_spears.xml","AR_northern_lance_t3","3","spear_pommel_10","Pommel","110"
"OSW","OSA_ar_reforms_spears.xml","AR_khuzait_polearm_1_t3","0","spear_blade_19","Blade","90"
"OSW","OSA_ar_reforms_spears.xml","AR_khuzait_polearm_1_t3","1","spear_guard_15","Guard","110"
"OSW","OSA_ar_reforms_spears.xml","AR_khuzait_polearm_1_t3","2","AR_SI_spear_handle_d","Handle","77"
"OSW","OSA_ar_reforms_spears.xml","AR_khuzait_polearm_1_t3","3","spear_pommel_6","Pommel",""
"OSW","OSA_ar_reforms_spears.xml","AR_billhook_1_t2","0","AR_billhook_blade_a","Blade","102"
"OSW","OSA_ar_reforms_spears.xml","AR_billhook_1_t2","1","default_polearm_guard","Guard",""
"OSW","OSA_ar_reforms_spears.xml","AR_billhook_1_t2","2","spear_handle_1","Handle","110"
"OSW","OSA_ar_reforms_spears.xml","AR_billhook_1_t2","3","default_polearm_pommel","Pommel",""
"OSW","OSA_ar_reforms_spears.xml","AR_crude_spear_1_t2","0","AR_spear_blade_d","Blade","105"
"OSW","OSA_ar_reforms_spears.xml","AR_crude_spear_1_t2","1","default_polearm_guard","Guard",""
"OSW","OSA_ar_reforms_spears.xml","AR_crude_spear_1_t2","2","AR_SI_spear_handle_c","Handle","109"
"OSW","OSA_ar_reforms_spears.xml","AR_crude_spear_1_t2","3","default_polearm_pommel","Pommel",""
"OSW","OSA_ar_reforms_spears.xml","AR_crude_spear_2_t2","0","spear_blade_15","Blade","90"
"OSW","OSA_ar_reforms_spears.xml","AR_crude_spear_2_t2","1","default_polearm_guard","Guard",""
"OSW","OSA_ar_reforms_spears.xml","AR_crude_spear_2_t2","2","AR_spear_handle_a","Handle","110"
"OSW","OSA_ar_reforms_spears.xml","AR_crude_spear_2_t2","3","default_polearm_pommel","Pommel",""
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_short_spear_1_t2","0","spear_blade_36","Blade","90"
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_short_spear_1_t2","1","spear_guard_9","Guard","103"
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_short_spear_1_t2","2","spear_handle_3","Handle","80"
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_short_spear_1_t2","3","spear_pommel_9","Pommel",""
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_short_spear_2_t3","0","spear_blade_36","Blade","110"
"OSW","OSA_ar_reforms_spears.xml","AR_aserai_short_spear_2_t3","1","spear_guard_9","Guard",""
