"source_mod","source_file","id","name","tier","piece_type","culture","mesh","weight","length","BladeData.blade_length","BladeData.blade_width","BladeData.stack_amount","BladeData.Swing.damage_type","BladeData.Swing.damage_factor","BladeData.Thrust.damage_type","BladeData.Thrust.damage_factor","StatContributions.armor_bonus","BuildData.piece_offset","BuildData.next_piece_offset","CraftingCost","is_default","appearance","BladeData.body_name","BladeData.holster_body_name","BladeData.holster_mesh","BladeData.holster_mesh_length","BladeData.physics_material","distance_to_next_piece","distance_to_previous_piece","excluded_item_usage_features","Flags.Flag.name","Flags.Flag.type","full_scale","item_holster_pos_shift","Materials.Material.count","Materials.Material.id"
"OSW","OSA_crafting_pieces.xml","AR_axe_head_a","{=osa_ar_axe_head_a}Small Bardiche Head","4","Blade","","AR_axe_head_a","0.7","","25.328","28.023","3","Cut","3.4","","","","-17","","","","","bo_axe_longer_b","","","","metal_weapon","14","11.7","","CanBePickedUpFromCorpse","ItemFlags","","","4","Iron3"
"OSW","OSA_crafting_pieces.xml","AR_axe_head_b","{=osa_ar_axe_head_b}Small Fine Steel Bardiche Head","4","Blade","","AR_axe_head_a","0.8","","25.328","31.023","3","Cut","3.8","","","","-17","","","","","bo_axe_longer_b","","","","metal_weapon","14","11.7","","CanBePickedUpFromCorpse","ItemFlags","","","3","Iron4"
"OSW","OSA_crafting_pieces.xml","AR_aserai_blade_a","{=osa_ar_aserai_blade_a}Iron Shotel Blade","2","Blade","Culture.aserai","AR_aserai_blade_a","0.96","93.2","","","3","Cut","3.2","Pierce","0.4","","","","","","","bo_sword_one_handed","","AR_aserai_blade_a_scabbard_a","","metal_weapon","","","","Civilian","ItemFlags","","","3","Iron3"
"OSW","OSA_crafting_pieces.xml","AR_aserai_blade_b","{=osa_ar_aserai_blade_b}Fine Steel Shotel Blade","4","Blade","Culture.aserai","AR_aserai_blade_a","1.06","93.2","","","3","Cut","3.9","Pierce","0.8","","","","","","","bo_sword_one_handed","","AR_aserai_blade_a_scabbard_b","","metal_weapon","","","","","","","","3","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_empire_guard_a","{=osa_ar_empire_guard_a}Lipped Wooden Guard","2","Guard","Culture.empire","AR_empire_guard_a","0.16","5.2","","","","","","","","1","","2.1","","","","","","","","","","","","","","","","2","Iron2"
"OSW","OSA_crafting_pieces.xml","AR_empire_guard_b","{=osa_ar_empire_guard_b}Gilded Half Moon Guard","5","Guard","Culture.empire","AR_empire_guard_b","0.20","4.5","","","","","","","","5","","1","","","","","","","","","","","","","","","","1","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_empire_guard_c","{=osa_ar_empire_guard_c}Layered Wooden Guard","1","Guard","Culture.empire","AR_empire_guard_c","0.086","2.6","","","","","","","","1","","0.3","","","","","","","","","","","","","","","","1","Iron1"
"OSW","OSA_crafting_pieces.xml","AR_empire_guard_d","{=osa_ar_empire_guard_d}Lipped Gilded Guard","5","Guard","Culture.empire","AR_empire_guard_d","0.16","5.2","","","","","","","","1","","2.1","","","","","","","","","","","","","","","","1","Iron5"
"OSW","OSA_crafting_pieces.xml","AR_basic_guard_a","{=osa_ar_basic_guard_a}Basic Wooden Guard","1","Guard","","AR_basic_guard_a","0.020","1.2","","","","","","","","1","","0.5","150","","","","","","","","","","","","","","","1","Wood"
"OSW","OSA_crafting_pieces.xml","AR_basic_guard_b","{=osa_ar_basic_guard_b}Ridged Wooden Guard","1","Guard","","AR_basic_guard_b","0.02","1.73","","","","","","","","2","","0.2","","true","","","","","","","","","","","","","","1","Wood"
