"source_mod","source_file","id","name","Type","culture","subtype","mesh","weight","value","difficulty","appearance","Armor.material_type","Armor.modifier_group","Armor.head_armor","Armor.body_armor","Armor.arm_armor","Armor.leg_armor","Armor.covers_body","Armor.has_gender_variations","Armor.hair_cover_type","Armor.beard_cover_type","Armor.mane_cover_type","Armor.maneuver_bonus","Armor.speed_bonus","Armor.charge_bonus","Armor.family_type","Armor.reins_mesh","Weapon.weapon_class","Weapon.ammo_class","Weapon.weapon_length","Weapon.thrust_damage","Weapon.thrust_damage_type","Weapon.thrust_speed","Weapon.speed_rating","Weapon.accuracy","Weapon.missile_speed","Weapon.stack_amount","Weapon.modifier_group","Weapon.item_usage","AmmoOffset","Armor.body_mesh_type","Armor.covers_hands","Armor.covers_legs","Armor.stealth_factor","Armor.tail_cover_type","body_name","Flags.Civilian","Flags.DoesNotHideChest","Flags.ForceAttachOffHandPrimaryItemBone","Flags.ForceAttachOffHandSecondaryItemBone","Flags.HeldInOffHand","Flags.Stealth","Flags.UseTeamColor","Flags.WoodenParry","flying_mesh","has_lower_holster_priority","holster_body_name","holster_mesh","holster_mesh_with_weapon","holster_position_shift","is_merchandise","item_holsters","lod_atlas_index","recalculate_body","shield_body_name","using_tableau","Weapon.ammo_limit","Weapon.body_armor","Weapon.center_of_mass","Weapon.flying_sound_code","Weapon.hit_points","Weapon.passby_sound_code","Weapon.physics_material","Weapon.position","Weapon.reload_phase_count","Weapon.rotation","Weapon.rotation_speed","Weapon.sticking_position","Weapon.sticking_rotation","Weapon.trail_particle_name","Weapon.WeaponFlags.AffectsArea","Weapon.WeaponFlags.AffectsAreaBig","Weapon.WeaponFlags.AmmoBreaksOnBounceBack","Weapon.WeaponFlags.AmmoSticksWhenShot","Weapon.WeaponFlags.AttachAmmoToVisual","Weapon.WeaponFlags.AutoReload","Weapon.WeaponFlags.Burning","Weapon.WeaponFlags.CanBlockRanged","Weapon.WeaponFlags.CanPenetrateShield","Weapon.WeaponFlags.CantReloadOnHorseback","Weapon.WeaponFlags.Consumable","Weapon.WeaponFlags.HasHitPoints","Weapon.WeaponFlags.HasString","Weapon.WeaponFlags.LeavesTrail","Weapon.WeaponFlags.MissileWithPhysics","Weapon.WeaponFlags.NotUsableWithOneHand","Weapon.WeaponFlags.RangedWeapon","Weapon.WeaponFlags.TwoHandIdleOnMount","Weapon.WeaponFlags.UnloadWhenSheathed","Weapon.WeaponFlags.UseHandAsThrowBase"
"OSA","OSA_aom_bip_armor.xml","ao_durkhan_tassled_necklace","{=osa_ao_durkhan_tassled_necklace}Eastern Tassled Necklace","Cape","Culture.khuzait","","AO_durkhan_necklace_a","0.2","","","1","Cloth","cloth_unarmoured","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSA","OSA_aom_bip_armor.xml","ao_generic_short_cape","{=osa_ao_generic_short_cape}Plain Short Cape","Cape","Culture.battania","","battania_cloak_a","0.2","","","3","Cloth","cloth_unarmoured","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","true","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSA","OSA_aom_bip_armor.xml","ao_focale","{=osa_ao_focale}Imperial Focale","Cape","Culture.empire","","AO_gen_focale_a","0.1","","","1","Cloth","cloth_unarmoured","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","true","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSA","OSA_aom_bip_armor.xml","ao_battanian_medallion","{=osa_ao_battanian_medallion}Highland Medallion","Cape","Culture.battania","","AO_battania_medallion_a","0.2","","","1","Cloth","cloth_unarmoured","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSA","OSA_aom_bip_armor.xml","ao_caladogs_medallion","{=osa_ao_caladogs_medallion}Highland Noble Medallion","Cape","Culture.battania","","AO_battania_medallion_b","0.2","","","1","Cloth","cloth_unarmoured","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSA","OSA_aom_bip_armor.xml","ao_imperial_noblemans_sash","{=osa_ao_imperial_noblemans_sash}Imperial Noble Sash","Cape","Culture.empire","","AO_empire_shoulders_a","0.5","","","1","Cloth","cloth_unarmoured","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSA","OSA_aom_bip_armor.xml","ao_light_fur_shoulder","{=osa_ao_light_fur_shoulder}Highland Shoulder Cloak","Cape","Culture.battania","","AO_battania_cloak_b","0.8","","","1","Cloth","cloth_unarmoured","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSA","OSA_aom_bip_armor.xml","ao_battanian_mail_shoulders","{=osa_ao_battanian_mail_shoulders}Highland Trimmed Mail Shoulders","Cape","Culture.battania","body_armor","AO_battania_shoulders_a","4.5","","0","1.8","Cloth","cloth","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSA","OSA_aom_bip_armor.xml","AO_aserai_shoulders_a","{=osa_ao_aserai_shoulders_a}Brass Scale Shoulders","Cape","Culture.aserai","","AO_aserai_shoulders_a","4.2","","","3","Plate","plate","","18","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OSA","OSA_aom_bip_armor.xml","AO_aserai_shoulders_a2","{=osa_ao_aserai_shoulders_a2}Iron Scale Shoulders","Cape","Culture.aserai","","AO_aserai_shoulders_a2","4.2","","","3","Plate","plate","","18","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
