"source_mod","source_file","id","name","crafting_template","culture","modifier_group","has_modifier","is_merchandise"
"RBM","RBMCombat_gladius.xml","gladius_b","{=lwxOPEPx}Gladius","Dagger","Culture.empire","sword","",""
"RBM","RBMCombat_gladius.xml","bastard_sword_t2","{=arBdK7st}Simple Bastard Sword","TwoHandedSword","","","",""
"RBM","RBMCombat_gladius.xml","highland_throwing_axe_1_t2","{=RBM_GLA_001}Throwing Labryes","ThrowingAxe","Culture.battania","","",""
"RBM","RBMCombat_gladius.xml","southern_throwing_axe_1_t4","{=RBM_GLA_002}Huge Throwing Axes","ThrowingAxe","Culture.aserai","","",""
"RBM","RBMCombat_gladius.xml","northern_throwing_axe_1_t1","{=RBM_GLA_003}Large Throwing Axes","ThrowingAxe","Culture.sturgia","","",""
"RBM","RBMCombat_gladius.xml","woodland_throwing_axe_1_t1","{=RBM_GLA_004}Medium Throwing Axes","ThrowingAxe","Culture.battania","","",""
"RBM","RBMCombat_gladius.xml","western_throwing_axe_1_t1","{=RBM_GLA_005}Small Throwing Axes","ThrowingAxe","Culture.vlandia","","",""
"RBM","RBMCombat_gladius.xml","vlandia_mace_1_t2","{=7jH0kuof}Spiked Mace","Mace","Culture.vlandia","","",""
"RBM","RBMCombat_gladius.xml","empire_mace_1_t2","{=HaK3y9yi}Spiked Club","Mace","Culture.empire","","",""
"RBM","RBMCombat_gladius.xml","aserai_mace_1_t2","{=wxL5TdDv}Militia Mace","Mace","Culture.aserai","","",""
"RBM","RBMCombat_gladius.xml","aserai_mace_2_t2","{=6QI8X6CY}Fullered Light Mace","Mace","Culture.aserai","","",""
"RBM","RBMCombat_gladius.xml","khuzait_mace_1_t2","{=N8VJWdVY}Steppe Light Mace","Mace","Culture.khuzait","","",""
"RBM","RBMCombat_gladius.xml","battania_mace_1_t2","{=knobbedclubweapon}Knobbed Club","Mace","Culture.battania","","",""
"RBM","RBMCombat_gladius.xml","battania_mace_2_t2","{=0SpLcthg}Highland Spiked Club","Mace","Culture.battania","","",""
