"source_mod","source_file","crafted_item_id","slot_index","id","Type","scale_factor"
"RBM","RBMCombat_gladius.xml","gladius_b","0","dagger_blade_1","Blade","170"
"RBM","RBMCombat_gladius.xml","gladius_b","1","aserai_dagger_guard_1","Guard","110"
"RBM","RBMCombat_gladius.xml","gladius_b","2","sturgian_grip_4","Handle",""
"RBM","RBMCombat_gladius.xml","gladius_b","3","battania_pommel_7","Pommel","90"
"RBM","RBMCombat_gladius.xml","bastard_sword_t2","0","empire_blade_4","Blade",""
"RBM","RBMCombat_gladius.xml","bastard_sword_t2","1","cleaver_guard_2","Guard",""
"RBM","RBMCombat_gladius.xml","bastard_sword_t2","2","sturgian_grip_33","Handle",""
"RBM","RBMCombat_gladius.xml","bastard_sword_t2","3","sturgian_pommel_7","Pommel",""
"RBM","RBMCombat_gladius.xml","highland_throwing_axe_1_t2","0","axe_craft_26_head","Blade","150"
"RBM","RBMCombat_gladius.xml","highland_throwing_axe_1_t2","1","axe_craft_12_handle","Handle","150"
"RBM","RBMCombat_gladius.xml","southern_throwing_axe_1_t4","0","axe_craft_4_head","Blade","250"
"RBM","RBMCombat_gladius.xml","southern_throwing_axe_1_t4","1","axe_craft_12_handle","Handle","130"
"RBM","RBMCombat_gladius.xml","northern_throwing_axe_1_t1","0","axe_craft_13_head","Blade","200"
"RBM","RBMCombat_gladius.xml","northern_throwing_axe_1_t1","1","axe_craft_11_handle","Handle","130"
"RBM","RBMCombat_gladius.xml","woodland_throwing_axe_1_t1","0","axe_craft_13_head","Blade","150"
"RBM","RBMCombat_gladius.xml","woodland_throwing_axe_1_t1","1","axe_craft_28_handle","Handle","115"
"RBM","RBMCombat_gladius.xml","western_throwing_axe_1_t1","0","axe_craft_4_head","Blade","100"
"RBM","RBMCombat_gladius.xml","western_throwing_axe_1_t1","1","axe_craft_11_handle","Handle","100"
"RBM","RBMCombat_gladius.xml","vlandia_mace_1_t2","0","mace_head_22","Blade","110"
"RBM","RBMCombat_gladius.xml","vlandia_mace_1_t2","1","mace_handle_6","Handle","100"
"RBM","RBMCombat_gladius.xml","empire_mace_1_t2","0","mace_head_23","Blade","100"
"RBM","RBMCombat_gladius.xml","empire_mace_1_t2","1","mace_handle_3","Handle","100"
"RBM","RBMCombat_gladius.xml","aserai_mace_1_t2","0","mace_head_17","Blade","110"
"RBM","RBMCombat_gladius.xml","aserai_mace_1_t2","1","mace_handle_6","Handle","100"
"RBM","RBMCombat_gladius.xml","aserai_mace_2_t2","0","mace_head_1","Blade","100"
"RBM","RBMCombat_gladius.xml","aserai_mace_2_t2","1","mace_handle_6","Handle","100"
"RBM","RBMCombat_gladius.xml","khuzait_mace_1_t2","0","mace_head_14","Blade","100"
"RBM","RBMCombat_gladius.xml","khuzait_mace_1_t2","1","mace_handle_8","Handle","100"
"RBM","RBMCombat_gladius.xml","khuzait_mace_1_t2","2","empire_pommel_1","Pommel","50"
"RBM","RBMCombat_gladius.xml","battania_mace_1_t2","0","mace_head_6","Blade","100"
"RBM","RBMCombat_gladius.xml","battania_mace_1_t2","1","mace_handle_3","Handle","100"
"RBM","RBMCombat_gladius.xml","battania_mace_2_t2","0","mace_head_5","Blade","100"
"RBM","RBMCombat_gladius.xml","battania_mace_2_t2","1","mace_handle_6","Handle","100"
"RBM","RBMCombat_gladius.xml","aserai_mace_3_t3","0","mace_head_19","Blade","110"
"RBM","RBMCombat_gladius.xml","aserai_mace_3_t3","1","mace_handle_7","Handle","100"
"RBM","RBMCombat_gladius.xml","light_mace_t3","0","mace_head_20","Blade","100"
"RBM","RBMCombat_gladius.xml","light_mace_t3","1","mace_handle_12","Handle","100"
"RBM","RBMCombat_gladius.xml","light_mace_t3","2","spear_pommel_5","Pommel","50"
"RBM","RBMCombat_gladius.xml","steel_mace_t3","0","mace_head_4","Blade","100"
"RBM","RBMCombat_gladius.xml","steel_mace_t3","1","mace_handle_4","Handle","100"
"RBM","RBMCombat_gladius.xml","morningstar_mace_t3","0","mace_head_9","Blade","100"
"RBM","RBMCombat_gladius.xml","morningstar_mace_t3","1","mace_handle_1","Handle","100"
"RBM","RBMCombat_gladius.xml","morningstar_mace_t3","2","empire_pommel_4","Pommel","50"
"RBM","RBMCombat_gladius.xml","vlandia_mace_2_t4","0","mace_head_16","Blade","100"
"RBM","RBMCombat_gladius.xml","vlandia_mace_2_t4","1","mace_handle_10","Handle","100"
"RBM","RBMCombat_gladius.xml","vlandia_mace_2_t4","2","spear_pommel_5","Pommel","50"
"RBM","RBMCombat_gladius.xml","empire_mace_2_t4","0","mace_head_3","Blade","100"
"RBM","RBMCombat_gladius.xml","empire_mace_2_t4","1","mace_handle_9","Handle","100"
"RBM","RBMCombat_gladius.xml","empire_mace_2_t4","2","empire_pommel_5","Pommel","45"
"RBM","RBMCombat_gladius.xml","empire_mace_3_t4","0","mace_head_8","Blade","100"
