"source_mod","source_file","id","name","tier","piece_type","culture","mesh","weight","length","BladeData.blade_length","BladeData.blade_width","BladeData.stack_amount","BladeData.Swing.damage_type","BladeData.Swing.damage_factor","BladeData.Thrust.damage_type","BladeData.Thrust.damage_factor","BuildData.piece_offset","BuildData.next_piece_offset","CraftingCost","is_default","is_hidden","BladeData.body_name","BladeData.holster_body_name","BladeData.holster_mesh","BladeData.holster_mesh_length","BladeData.physics_material","BuildData.previous_piece_offset","distance_to_next_piece","distance_to_previous_piece","excluded_item_usage_features","Flags.Flag.name","Flags.Flag.type","full_scale","item_holster_pos_shift"
"RBM","RBMCombat_axe_pieces.xml","axe_craft_32_head","{=KhHXgQJb}Common Wrought Iron Axe Head","1","Blade","","axe_craft_32_head","0.332","","9.664","17.21","3","Cut","0.6","","","-10","","","true","","bo_axe_longer_b","","","","metal_weapon","","4.35","5.4","","Stealth","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_37_head","{=aPr8NPdo}Western Iron Polearm Head","1","Blade","","axe_craft_37_head","0.332","","15.764","12","3","Cut","0.6","","","-7","","","","","bo_axe_longer_b","","","","metal_weapon","","2.04","3.27","","Civilian","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_36_head","{=cEU66ABf}Northern Battle Axe Blade","3","Blade","","axe_craft_36_head","0.396","","15.764","16","3","Cut","0.9","","","-16","","","","","bo_axe_longer_b","","","","metal_weapon","","10.4","10.4","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_35_head","{=VfzFTGd8}Small Round Bit Head","2","Blade","","axe_craft_35_head","0.366","","10.364","20.3","3","Cut","0.7","","","-11.5","","","","","bo_axe_longer_b","","","","metal_weapon","","5.04","6.33","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_27_head","{=g2r3QKOB}Southern Small Axe Head","2","Blade","","axe_craft_27_head","0.367","","16.562","13.626","3","Cut","0.7","","","-13","","","","","bo_axe_longer_b","","","","metal_weapon","","8.38","8.38","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_26_head","{=Tui9qvOZ}Tzikurion Head","3","Blade","","axe_craft_26_head","0.507","","17.6","19.393","2","Cut","0.9","","","-15","","","","","bo_axe_longer_b","","throwing_axe_quiver_1","","metal_weapon","","8.86","8.86","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_11_head","{=1NSafswc}Gallogaich Axe Head","4","Blade","","axe_craft_11_head","0.425","","9.79","28.335","3","Cut","1.1","","","-14","","","","","bo_axe_longer_b","","","","metal_weapon","","3.91","8.23","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_25_head","{=m6CVEgTU}Spiked Battle Axe Blade","5","Blade","","axe_craft_25_head","0.7","","25.328","31.023","3","Cut","1.1","","","-17","","","","","bo_axe_longer_b","","","","metal_weapon","","14","11.7","","Civilian","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_20_head","{=X7OrRebK}Narrow Sparth Blade","2","Blade","","axe_craft_20_head","0.362","","9.683","18.004","3","Cut","0.7","","","-10.5","","","","","bo_axe_longer_b","","","","metal_weapon","","3.63","5.93","","BonusAgainstShield","ItemFlags","",""
"RBM","RBMCombat_axe_pieces.xml","axe_craft_20_head_blunt","{=nsjbWcmp}Narrow Blunt Sparth Blade","2","Blade","","axe_craft_20_head","0.362","","9.683","18.004","3","Cut","0.7","","","-10.5","","","","true","bo_axe_longer_b","","","","metal_weapon","","3.63","5.93","","BonusAgainstShield","ItemFlags","",""
